wgs.id	source.id	year.bw	rosetta.id	nextera.id	cnt	loc	nextera.id.correct	ksu_id	lineage	lineage.pc	wcm.cat	wcm.qdr	batch
NA	NA	NA	BW_20229	BW_20229-A_idx_798	1665649	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20229-A_idx_798-R1.fq	BW_20229_A_idx_798	NA	NA	NA	NA	NA	NA
NA	NA	NA	BW_25724	BW_25724_idx_962	1574524	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_25724_idx_962-R1.fq	BW_25724_idx_962	NA	NA	NA	NA	NA	NA
NA	NA	NA	Blank	Blank_idx_919	607941	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/Blank_idx_919-R1.fq	Blank_idx_919	NA	NA	NA	NA	NA	NA
NA	NA	NA	BW_21221	BW_21221_idx_882	1348494	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_21221_idx_882-R1.fq	BW_21221_idx_882	NA	NA	NA	NA	NA	NA
BW_01000	NA	NA	NA	NA	NA	NA	NA	ENT076_NIAB	L2	NA	NA	NA	NA
BW_01001	ENT077_NIAB	bw16	BW_20605	BW_20605_idx_9	1958593	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20605_idx_9-R1.fq	BW_20605_idx_9	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	bw16	BW_20604	BW_20604_idx_1	1843181	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20604_idx_1-R1.fq	BW_20604_idx_1	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	bw16	BW_20607	BW_20607_idx_25	1541722	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20607_idx_25-R1.fq	BW_20607_idx_25	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	bw16	BW_20604	BW_20604-B_idx_825	1136165	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20604-B_idx_825-R1.fq	BW_20604_B_idx_825	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	bw16	BW_20607	BW_20607_idx_826	1241071	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20607_idx_826-R1.fq	BW_20607_idx_826	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	gru	TOWWC002	TOWWC_01002_idx_97	251511	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/TOWWC_01002_idx_97-R1.fq	TOWWC002_idx_97	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	bw16	BW_20604	BW_20604-A_idx_824	1358372	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20604-A_idx_824-R1.fq	BW_20604_A_idx_824	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01001	ENT077_NIAB	bw16	BW_20606	BW_20606_idx_17	1571534	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20606_idx_17-R1.fq	BW_20606_idx_17	ENT077_NIAB	L2	L2	NA	NA	b1
BW_01002	ENT078-1_NIAB	gru	TOWWC003	TOWWC_01003_idx_105	299065	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/TOWWC_01003_idx_105-R1.fq	TOWWC003_idx_105	ENT078-1_NIAB	L2	L2	NA	NA	b1
BW_01002	ENT078-1_NIAB	bw16	BW_20609	BW_20609_idx_33	1664141	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20609_idx_33-R1.fq	BW_20609_idx_33	ENT078-1_NIAB	L2	L2	NA	NA	b1
BW_01002	ENT078-1_NIAB	bw16	BW_20612	BW_20612_idx_10	1515922	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20612_idx_10-R1.fq	BW_20612_idx_10	ENT078-1_NIAB	L2	L2	NA	NA	b1
BW_01002	ENT078-1_NIAB	bw18	BW_25575	BW_25575_idx_987	725991	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_25575_idx_987-R1.fq	BW_25575_idx_987	ENT078-1_NIAB	L2	L2	NA	NA	b1
BW_01002	ENT078-1_NIAB	bw16	BW_20609	BW_20609-A_idx_827	329419	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20609-A_idx_827-R1.fq	BW_20609_A_idx_827	ENT078-1_NIAB	L2	L2	NA	NA	b1
BW_01002	ENT078-1_NIAB	bw16	BW_20611	BW_20611_idx_2	2663647	/bulk/jpoland/raw_data/psomagen/1909UNHS-0017/NEX0009/demultiplex/BW_20611_idx_2-R1.fq	BW_20611_idx_2	ENT078-1_NIAB	L2	L2	NA	NA	b1
