bw_number	ta	lineage	wcm
BW_23885	TA1577	L1	0
BW_23888	TA1602	L1	0
BW_23893	TA1652	L1	0
BW_23894	TA1655	L1	0
BW_23902	TA2379	L1	0
BW_23903	TA2381	L1	0
BW_23904	TA2382	L1	0
BW_23905	TA2384	L1	0
BW_23907	TA2397	L1	0
BW_23910	TA2403	L1	0
BW_23916	TA2419	L1	0
BW_23944	TA2557	L1	0
BW_23952	TA2587	L1	0
BW_23915	TA2417	L1	0.49
BW_23949	TA2579	L1	0.49
BW_23914	TA2412	L1	0.5
BW_23950	TA2581	L1	0.5
BW_23981	TA10190	L1	0.97
BW_23901	TA1717	L1	0.98
BW_23947	TA2573	L1	0.98
BW_23958	TA10082	L1	0.98
BW_23960	TA10105	L1	0.99
BW_23965	TA10123	L1	0.99
BW_23968	TA10135	L1	0.99
BW_23969	TA10136	L1	0.99
BW_23979	TA10182	L1	0.99
BW_23985	TA10213	L1	0.99
BW_23986	TA10292	L1	0.99
BW_01169	TA2495	L1	1
BW_23955	TA10072	L1	1
BW_23961	TA10114	L1	1
BW_23967	TA10127	L1	1
BW_23971	TA10143	L1	1
BW_23993	TA10319	L1	1
BW_23997	TA10922	L1	1
BW_23933	TA2508	L1	1.01
BW_23940	TA2522	L1	1.01
BW_23995	TA10328	L1	1.01
BW_23996	TA10918	L1	1.01
BW_23962	TA10118	L1	1.02
BW_23999	TA10957	L1	1.02
BW_23994	TA10323	L1	1.18
BW_23976	TA10175	L1	1.19
BW_23898	TA1698	L1	1.21
BW_23939	TA2520	L1	1.21
BW_23978	TA10178	L1	1.21
BW_23938	TA2519	L1	1.31
BW_23992	TA10312	L1	1.32
BW_23935	TA2511	L1	1.34
BW_23937	TA2517	L1	1.37
BW_23959	TA10100	L1	1.4
BW_23953	TA10069	L1	1.41
BW_23983	TA10202	L1	1.49
BW_01101	TA1653	L1	1.5
BW_23948	TA2577	L1	1.5
BW_23957	TA10080	L1	1.5
BW_23972	TA10163	L1	1.51
BW_23990	TA10306	L1	1.59
BW_23970	TA10139	L1	1.6
BW_23991	TA10307	L1	1.66
BW_23964	TA10120	L1	1.68
BW_23977	TA10177	L1	1.74
BW_23988	TA10294	L1	1.76
BW_23954	TA10071	L1	1.83
BW_23923	TA2445	L1	1.99
BW_23973	TA10165	L1	1.99
BW_23980	TA10183	L1	2
BW_23975	TA10172	L1	2.01
BW_23984	TA10210	L1	2.01
BW_23998	TA10932	L1	2.01
BW_23966	TA10125	L1	2.02
BW_23974	TA10169	L1	2.02
BW_01183	TA2567	L1	2.15
BW_23987	TA10293	L1	2.31
BW_23892	TA1634	L1	2.5
BW_23920	TA2437	L1	2.5
BW_23931	TA2502	L1	2.5
BW_23945	TA2566	L1	2.5
BW_23918	TA2432	L1	2.51
BW_23927	TA2488	L1	2.51
BW_23891	TA1630	L1	2.59
BW_23924	TA2462	L1	2.59
BW_23917	TA2426	L1	2.62
BW_23926	TA2486	L1	2.66
BW_23886	TA1592	L1	2.67
BW_23906	TA2392	L1	2.68
BW_23909	TA2399	L1	2.69
BW_23908	TA2398	L1	2.75
BW_23919	TA2433	L1	2.83
BW_23928	TA2489	L1	2.83
BW_23951	TA2586	L1	2.83
BW_23921	TA2440	L1	2.92
BW_23943	TA2546	L1	3
BW_23982	TA10196	L1	3
BW_23911	TA2405	L1	3.01
BW_23936	TA2514	L1	3.26
BW_23913	TA2410	L1	3.31
BW_23896	TA1694	L1	3.41
BW_23930	TA2501	L1	3.51
BW_23887	TA1594	L1	4
BW_23922	TA2444	L1	4
BW_23942	TA2543	L1	4
BW_01093	TA1635	L2	0
BW_01128	TA1695	L2	0
BW_01098	TA1645	L2	0.05
BW_01166	TA2483	L2	0.05
BW_01050	TA10142	L2	0.07
BW_01041	TA10086	L2	1
BW_01087	TA1612	L2	1
BW_01085	TA1605	L2	1.2
BW_01057	TA10921	L2	1.5
BW_01081	TA1585	L2	1.6
BW_01060	TA10933	L2	1.7
BW_01066	TA10940	L2	1.7
BW_01104	TA1659	L2	1.7
BW_01042	TA10090	L2	1.8
BW_01044	TA10093	L2	1.9
BW_01045	TA10094	L2	1.9
BW_01078	TA10952	L2	1.9
BW_01086	TA1606	L2	1.9
BW_01047	TA10098	L2	2
BW_01175	TA2527	L2	2
BW_01179	TA2561	L2	2.05
BW_01114	TA1673	L2	2.2
BW_01046	TA10095	L2	2.3
BW_01055	TA10417	L2	2.4
BW_01071	TA10945	L2	2.4
BW_01077	TA10951	L2	2.5
BW_01088	TA1613	L2	2.5
BW_01162	TA2478	L2	2.5
BW_01176	TA2528	L2	2.5
BW_01178	TA2530	L2	2.6
BW_01182	TA2565	L2	2.6
BW_01094	TA1641	L2	2.65
BW_01113	TA1670	L2	2.65
BW_01139	TA2446	L2	2.65
BW_01154	TA2469	L2	2.65
BW_01062	TA10935	L2	2.7
BW_01070	TA10944	L2	2.7
BW_01110	TA1667	L2	2.7
BW_01115	TA1675	L2	2.7
BW_01163	TA2479	L2	2.7
BW_01164	TA2480	L2	2.7
BW_01172	TA2499	L2	2.7
BW_01124	TA1686	L2	2.75
BW_01065	TA10939	L2	2.8
BW_01072	TA10946	L2	2.8
BW_01091	TA1622	L2	2.8
BW_01129	TA1696	L2	2.85
BW_01165	TA2481	L2	2.85
BW_01184	TA2568	L2	2.9
BW_01138	TA2378	L2	2.95
BW_01177	TA2529	L2	2.95
BW_01167	TA2484	L2	3
BW_01099	TA1649	L2	3.05
BW_01134	TA2369	L2	3.05
BW_01082	TA1586	L2	3.1
BW_01089	TA1615	L2	3.1
BW_01120	TA1682	L2	3.1
BW_01155	TA2470	L2	3.1
BW_01161	TA2477	L2	3.1
BW_01171	TA2497	L2	3.1
BW_01181	TA2564	L2	3.1
BW_01103	TA1658	L2	3.15
BW_01111	TA1668	L2	3.15
BW_01137	TA2377	L2	3.15
BW_01159	TA2475	L2	3.15
BW_01170	TA2496	L2	3.15
BW_01074	TA10948	L2	3.2
BW_01132	TA1715	L2	3.2
BW_01142	TA2452	L2	3.2
BW_01148	TA2460	L2	3.2
BW_01156	TA2471	L2	3.2
BW_01084	TA1600	L2	3.25
BW_01102	TA1656	L2	3.25
BW_01116	TA1677	L2	3.25
BW_01136	TA2376	L2	3.25
BW_01141	TA2451	L2	3.25
BW_01068	TA10942	L2	3.3
BW_01107	TA1664	L2	3.3
BW_01109	TA1666	L2	3.3
BW_01126	TA1691	L2	3.3
BW_01147	TA2459	L2	3.3
BW_01153	TA2467	L2	3.3
BW_01143	TA2453	L2	3.35
BW_01144	TA2454	L2	3.35
BW_01158	TA2474	L2	3.35
BW_01106	TA1662	L2	3.4
BW_01122	TA1684	L2	3.4
BW_01096	TA1643	L2	3.45
BW_01186	TA2585	L2	3.45
BW_01043	TA10091	L2	3.5
BW_01123	TA1685	L2	3.5
BW_01185	TA2578	L2	3.55
BW_01095	TA1642	L2	3.6
BW_01105	TA1661	L2	3.6
BW_01119	TA1680	L2	3.6
BW_01133	TA1718	L2	3.65
BW_01112	TA1669	L2	3.7
BW_01168	TA2485	L2	3.75
BW_01151	TA2465	L2	3.85
BW_01152	TA2466	L2	3.95
BW_01080	TA1584	L2	4
BW_01083	TA1599	L2	4
BW_01090	TA1619	L2	4
BW_01092	TA1624	L2	4
BW_01121	TA1683	L2	4
BW_01127	TA1693	L2	4
